Listing ID,Listing name,Final URL,Image URL,Price,City name,Property type,Listing type,Address,Description,Contextual keywords
1183063351,3BR Single Family Home,https://bradschmett.com/listing-detail/1183063351/4238-Indigo-ST-Palm-Springs-CA,https://wsrv.nl/?url=https%3A%2F%2Fcdn.photos.sparkplatform.com%2Fgps%2F20260528192003845346000000-o.jpg&w=1200&output=jpg&q=80,"$1,368,000",Palm Springs,Single Family Home,For Sale,"4238 Indigo ST, Palm Springs, CA 92262, CA",Located within the highly,Escena; 2598 sqft
1183063350,3BR Single Family Home,https://bradschmett.com/listing-detail/1183063350/46-Vistara-DR-Rancho-Mirage-CA,https://wsrv.nl/?url=https%3A%2F%2Fcdn.photos.sparkplatform.com%2Fgps%2F20260528232622503009000000-o.jpg&w=1200&output=jpg&q=80,"$699,000",Rancho Mirage,Single Family Home,For Sale,"46 Vistara DR, Rancho Mirage, CA 92270, CA",Tucked inside The Estates,The Estates At Rm; 2079 sqft
1183062742,Condo in Palm Desert,https://bradschmett.com/listing-detail/1183062742/73850-Fairway-DR-190-Palm-Desert-CA,https://wsrv.nl/?url=https%3A%2F%2Fcdn.photos.sparkplatform.com%2Fgps%2F20260528225101386754000000-o.jpg&w=1200&output=jpg&q=80,"$269,000",Palm Desert,Condo,For Sale,"73850 Fairway DR #190, Palm Desert, CA 92260, CA",Tucked alongside a calmin,Shadow Mountain Resort; 640 sqft
1183058800,Commercial in Indio,https://bradschmett.com/listing-detail/1183058800/80394-Ave-48-180-Indio-CA,https://wsrv.nl/?url=https%3A%2F%2Fcdn.photos.sparkplatform.com%2Fgps%2F20260528232201244699000000-o.jpg&w=1200&output=jpg&q=80,"$154,900",Indio,Commercial,For Sale,"80394 Ave 48 #180, Indio, CA 92201, CA",Located within Outdoor Re,Outdoor Resorts Country Club
1183056863,3BR Single Family Home,https://bradschmett.com/listing-detail/1183056863/1318-E-Via-Escuela-Palm-Springs-CA,https://wsrv.nl/?url=https%3A%2F%2Fcdn.photos.sparkplatform.com%2Fgps%2F20260528200205019338000000-o.jpg&w=1200&output=jpg&q=80,"$1,350,000",Palm Springs,Single Family Home,For Sale,"1318 E Via Escuela, Palm Springs, CA 92262, CA",3 bedrooms plus casita! E,Victoria Park/Vista Norte; 1564 sqft
1183055955,3BR Single Family Home,https://bradschmett.com/listing-detail/1183055955/69523-Las-Camelias-Cathedral-City-CA,https://wsrv.nl/?url=https%3A%2F%2Fcdn.photos.sparkplatform.com%2Fgps%2F20260528170624516074000000-o.jpg&w=1200&output=jpg&q=80,"$585,000",Cathedral City,Single Family Home,For Sale,"69523 Las Camelias, Cathedral City, CA 92234, CA",If you're dreaming about ,Rio Del Sol; 1420 sqft
1183054020,7BR Single Family Home,https://bradschmett.com/listing-detail/1183054020/68160-Modalo-RD-Cathedral-City-CA,https://wsrv.nl/?url=https%3A%2F%2Fcdn.photos.sparkplatform.com%2Fgps%2F20260528215848320524000000-o.jpg&w=1200&output=jpg&q=80,"$850,000",Cathedral City,Single Family Home,For Sale,"68160 Modalo RD, Cathedral City, CA 92234, CA",Discover two homes on one,Upper Outpost; 2735 sqft
1183052909,3BR Single Family Home,https://bradschmett.com/listing-detail/1183052909/119-Tamit-PL-Palm-Desert-CA,https://wsrv.nl/?url=https%3A%2F%2Fcdn.photos.sparkplatform.com%2Fgps%2F20260527212001274999000000-o.jpg&w=1200&output=jpg&q=80,"$2,995,000",Palm Desert,Single Family Home,For Sale,"119 Tamit PL, Palm Desert, CA 92260, CA",Panoramic Mountain and Go,Bighorn Golf Club; 3900 sqft
1183052908,7BR Multi-Family,https://bradschmett.com/listing-detail/1183052908/68160-Modalo-RD-Cathedral-City-CA,https://wsrv.nl/?url=https%3A%2F%2Fcdn.photos.sparkplatform.com%2Fgps%2F20260528214238884699000000-o.jpg&w=1200&output=jpg&q=80,"$850,000",Cathedral City,Multi-Family,For Sale,"68160 Modalo RD, Cathedral City, CA 92234, CA",Discover two homes on one,Upper Outpost; 2735 sqft
1183048363,4BR Single Family Home,https://bradschmett.com/listing-detail/1183048363/73210-Amber-ST-Palm-Desert-CA,https://wsrv.nl/?url=https%3A%2F%2Fcdn.photos.sparkplatform.com%2Fgps%2F20260528210606516964000000-o.jpg&w=1200&output=jpg&q=80,"$1,229,000",Palm Desert,Single Family Home,For Sale,"73210 Amber ST, Palm Desert, CA 92260, CA",spectacular views from th,Canyon Cove-805; 2771 sqft
